book,genre,store,date,sale
"Other Songs","Science Fiction",Gentofte,2005-04-23,59
"The Sun, the Genome and the Internet",Non-fiction,Esbjerg,2005-04-23,31
"Expecting Someone Taller",Satire,Herning,2005-03-06,21
Triss,"Children's literature","Hillerød",2005-02-22,41
"The Twenty-One Balloons","Speculative fiction","Tønder",2005-04-23,72
"The Monsters of Templeton","Speculative fiction","Holbæk",2005-02-25,76
Mephisto,Fiction,Skagen,2005-03-21,76
"The Wonderful Wizard of Oz","Speculative fiction",Aarhus,2005-06-28,53
"The Beast Master","Science Fiction",Roskilde,2005-04-23,38
"Inside, Outside",Fiction,Vejle,2005-07-22,14
"Rifles for Watie","War novel",Randers,2005-03-31,13
"Richard Yates","Autobiographical novel",Aalborg,2005-01-12,49
"Invincible Louisa",Autobiography,"Sorø",2005-07-02,11
"The Last Dodo","Speculative fiction",Nyborg,2005-07-21,66
Phantastes,"Speculative fiction",Slagelse,2005-08-13,63
"The Kaiser's Last Kiss",Novel,Fredericia,2005-02-16,25
"A Dream of Wessex","Science Fiction",Frederiksberg,2005-01-11,51
"Black Fire","Science Fiction",Silkeborg,2005-10-26,89
Wolf-Speaker,"Children's literature",Svendborg,2005-07-07,61
"Right as Rain","Crime Fiction",Aalborg,2005-10-24,50
"In the Best Families",Mystery,Nakskov,2005-05-28,80
"Rogue Planet","Science Fiction",Svendborg,2005-11-12,21
"The Magicians","Speculative fiction",Ribe,2005-11-28,15
Q-Squared,"Science Fiction",Kolding,2005-10-12,69
"Brighton Rock",Thriller,Horsens,2005-02-18,19
"David Golder",Novel,Thisted,2005-11-08,54
"Elephants Can Remember","Crime Fiction",Skive,2005-11-04,43
"The Partner",Mystery,"Helsingør",2005-03-07,51
"Wonder of the Worlds","Alternate history","Køge",2005-12-22,85
"West of Eden","Science Fiction",Skive,2005-10-02,50
"A Romance of the Halifax Disaster","Romance novel","Sønderborg",2005-07-03,74
"A Glimpse of Tiger",Novel,Holstebro,2005-08-03,5
Apocalypse,"Young adult literature",Slagelse,2005-02-01,33
"Harry Potter and the Prisoner of Azkaban",Fantasy,Copenhagen,2005-06-12,85
"The Professor of Desire",Novel,Thisted,2005-04-19,56
"The Winning Side","Science Fiction",Copenhagen,2005-12-25,46
"Flint the King","Speculative fiction",Ribe,2005-07-08,34
"File For Record",Mystery,Skagen,2005-05-19,96
"Enemies, a Love Story",Novel,Frederikshavn,2005-03-25,48
"Ciske de Rat","Children's literature",Thisted,2005-03-09,46
"Bill the Conqueror",Novel,Ribe,2005-10-15,34
"Razor's Edge","Science Fiction",Aabenraa,2005-10-29,11
"Bitter Lemons",Reference,Odense,2005-07-22,61
"The Two of Them","Science Fiction","Hjørring",2005-09-10,67
"Directive 51","Science Fiction",Aabenraa,2005-10-29,32
"Death Star","Science Fiction",Kolding,2005-10-22,64
"Space Opera","Science Fiction","Hjørring",2005-05-02,51
Feathers,"Young adult literature",Holstebro,2005-10-29,27
"Truth and Bright Water",Fiction,"Sønderborg",2005-03-01,26
"Demons Don't Dream","Speculative fiction","Køge",2005-09-30,48
"A Hope in the Unseen","Biographical novel","Helsingør",2005-06-12,20
"Heaven Eyes","Children's literature",Aarhus,2005-09-22,7
Lavondyss,"Speculative fiction",Silkeborg,2005-03-29,76
"The Man-Eater of Malgudi",Fiction,Kolding,2005-02-14,57
"Mistborn: The Hero of Ages","Speculative fiction","Sønderborg",2005-06-26,89
"The Gathering Storm",Fantasy,"Holbæk",2005-09-26,93
"Lost and Found","Children's literature","Tønder",2005-11-15,9
"R-T, Margaret, and the Rats of NIMH","Children's literature","Tønder",2005-05-24,49
"HMS Ulysses","Historical fiction","Sønderborg",2005-12-21,56
"Above the Veil","Children's literature",Kolding,2005-10-07,57
"Sophie's World","Speculative fiction",Ribe,2005-03-07,75
"The Hooded Hawk Mystery",Mystery,Aabenraa,2005-04-22,8
"Is Shakespeare Dead?",Non-fiction,Fredericia,2005-12-20,33
"The Pinhoe Egg","Science Fiction",Silkeborg,2005-12-14,77
"Colors Insulting to Nature",Fiction,Nyborg,2005-12-02,36
"Becoming Madame Mao","Historical novel",Aabenraa,2005-11-23,19
"Inventing the AIDS Virus",Non-fiction,Roskilde,2005-02-14,28
"The Last Days","Science Fiction","Sønderborg",2005-10-12,63
"Grantchester Grind",Fiction,Aarhus,2005-06-27,83
"The Warlord of Mars","Science Fiction",Nakskov,2005-02-22,75
"Berge Meere und Giganten","Science Fiction",Aalborg,2005-12-15,27
Sent,"Science Fiction","Sorø",2005-10-24,17
"REM World","Children's literature",Odense,2005-10-12,44
Thornyhold,"Speculative fiction",Odense,2005-05-31,5
"Stand on Zanzibar","Science Fiction",Slagelse,2005-03-17,98
"A Summons to Memphis",Novel,Randers,2005-01-01,12
"Flying Fox of Snowy Mountain",Wuxia,"Sorø",2005-11-20,64
"Romanno Bridge",Novel,Vordingborg,2005-01-22,80
"A Ride into Morning","Children's literature",Viborg,2005-06-14,81
"How Much for Just the Planet?","Science Fiction",Nakskov,2005-11-15,90
Finch,Fantasy,Maribo,2005-11-27,51
"On the Beach","Science Fiction",Aabenraa,2005-07-22,87
"A Journey",Memoir,Kolding,2005-02-26,91
"Texar's Revenge, or, North Against South","Adventure novel","Nørresundby",2005-12-09,18
"The Pelican Brief","Children's literature","Sønderborg",2005-01-18,16
"The Open Society and Its Enemies",Philosophy,"Sønderborg",2005-03-13,99
"Stand on Zanzibar","Science Fiction","Holbæk",2005-04-04,52
"The Mark of the Horse Lord","Historical novel",Viborg,2005-11-30,39
"Valley of the Squinting Windows",Fiction,Silkeborg,2005-07-26,82
"The Bride of Newgate","Detective fiction","Hjørring",2005-02-19,22
"The Magician","Young adult literature",Nakskov,2005-12-18,44
Troubles,Fiction,Viborg,2005-08-06,24
"The Bloody Red Baron","Alternate history",Silkeborg,2005-11-20,28
"Joseph Andrews","Chivalric romance",Holstebro,2005-09-29,15
"A Small Town in Germany",Thriller,Randers,2005-10-11,58
"Dark Passage","Crime Fiction",Odense,2005-01-14,16
"Three to See the King",Novel,Horsens,2005-11-20,61
"The Icarus Agenda",Thriller,Copenhagen,2005-10-04,34
"My Family and Other Animals",Drama,Silkeborg,2005-03-08,78
"The False Inspector Dew","Crime Fiction",Horsens,2005-11-09,64
"Flag in Exile","Science Fiction",Roskilde,2005-07-31,33
"Shadows on the Stars","Speculative fiction",Holstebro,2005-09-23,65
"The Bloody Sun","Science Fiction",Odense,2005-02-10,51
March,Fiction,Frederikshavn,2005-12-30,42
"Remnant Population","Science Fiction",Odense,2005-10-23,10
"The Mountain Cat Murders",Mystery,Herning,2005-06-11,10
"The Armageddon Inheritance","Science Fiction",Svendborg,2005-04-16,60
"Amusing Ourselves to Death: Public Discourse in the Age of Show Business",Non-fiction,Thisted,2005-04-14,90
"The Champion Maker",Thriller,Aabenraa,2005-11-07,44
"Sinister Secret of Saltmarsh","Role-playing game",Randers,2005-10-29,5
"The Flying Trunk","Fairy tale",Roskilde,2005-09-20,63
"A Time for George Stavros",Novel,Fredericia,2005-12-06,99
"Master of the Game",Thriller,Vordingborg,2005-06-10,22
"The Sentinel","Speculative fiction",Silkeborg,2005-01-04,68
"Imperium: A Novel of Ancient Rome","Speculative fiction",Kolding,2005-12-26,76
"The Unknown Shore","Speculative fiction",Frederiksberg,2005-04-26,36
"My Cousin Rachel",Mystery,"Sorø",2005-05-04,66
"The Devil Goblins from Neptune","Science Fiction",Svendborg,2005-01-12,45
"Idylls of the Rat King","Role-playing game",Randers,2005-04-17,69
"The Watsons",Fiction,Herning,2005-02-09,27
"The Conch Bearer","Children's literature",Viborg,2005-05-21,39
"Hunter of Worlds","Science Fiction",Fredericia,2005-02-10,74
"Everyone Worth Knowing","Chick lit","Holbæk",2005-09-24,85
Conqueror,"Alternate history",Svendborg,2005-05-07,79
"We Were the Mulvaneys",Fiction,"Hjørring",2005-06-18,95
"Deryni Checkmate","Science Fiction","Hillerød",2005-09-06,50
"Room at the Top",Fiction,Aalborg,2005-01-23,31
"Where Rainbows End",Novel,Haderslev,2005-07-19,53
"System Shock","Science Fiction",Odense,2005-10-18,9
"Enchantress from the Stars","Speculative fiction",Vejle,2005-04-12,83
"Yes Man",Humour,Slagelse,2005-10-07,43
"The Last Unicorn","Speculative fiction",Fredericia,2005-02-28,13
"Freddy and the Men from Mars","Comic novel",Haderslev,2005-05-14,43
"The Keepers of the House",Fiction,Kalundborg,2005-09-06,41
"Queer Person","Children's literature",Kalundborg,2005-09-25,55
"Off Armageddon Reef","Science Fiction","Nykøbing Falster",2005-02-25,86
"Bully and the Beast",Fantasy,Esbjerg,2005-01-11,60
"Beebo Brinker",Fiction,Herning,2005-10-25,19
"Giles Goat-Boy","Speculative fiction",Holstebro,2005-12-13,36
"The Colossus of Rhodes","Historical fiction",Maribo,2005-03-07,15
"Night Whispers","Children's literature",Skive,2005-07-05,64
"From Black Rooms","Crime Fiction",Holstebro,2005-09-12,50
"The Mystery of the Blue Train","Crime Fiction",Roskilde,2005-11-10,82
"1634: The Ram Rebellion","Alternate history",Holstebro,2005-06-19,11
"Kapitan Sino",Novel,Nakskov,2005-05-31,53
"Charlotte Gray",Fiction,Odense,2005-07-21,90
Shenzhen,Memoir,Holstebro,2005-07-29,49
"The Mask of Apollo",Mystery,Aabenraa,2005-07-19,72
"The Sense of the Past",Novel,Skive,2005-11-15,31
"Newton's Cannon","Science Fiction","Holbæk",2005-05-02,50
"Command & Conquer: Tiberium Wars","Science Fiction",Haderslev,2005-12-28,55
"Texas Fever","Western fiction",Gentofte,2005-05-13,97
Shadowslayers,Fantasy,Aabenraa,2005-10-05,13
"The Night of Kadar","Science Fiction",Randers,2005-02-10,6
"The Son of Tarzan","Speculative fiction","Hjørring",2005-08-01,86
"Oms en Série","Science Fiction",Kalundborg,2005-06-11,68
"The Sky Phantom",Mystery,Frederiksberg,2005-11-01,63
Foe,"Parallel novel",Haderslev,2005-03-30,95
"Checkpoint: A Novel",Fiction,Silkeborg,2005-03-01,16
"Here Be Monsters!",Fantasy,Roskilde,2005-10-12,36
"Interesting Times","Science Fiction",Kalundborg,2005-09-20,48
"The Mandelbaum Gate",Fiction,Frederiksberg,2005-07-01,20
"Hunter of Worlds","Science Fiction","Nørresundby",2005-05-31,72
"Birds Without Wings","War novel","Hillerød",2005-11-24,32
"Confessions of a Teenage Baboon","Young adult literature",Vordingborg,2005-01-09,57
Marked,"Vampire fiction","Køge",2005-01-13,31
"Peter & Max: A Fables Novel","Contemporary fantasy",Kalundborg,2005-07-22,9
"Artemis Fowl",Fantasy,Silkeborg,2005-06-18,75
"Loose Ends","Science Fiction",Silkeborg,2005-02-11,72
"The Soft Centre","Crime Fiction",Ribe,2005-06-18,61
"For All Time","Speculative fiction",Skagen,2005-01-12,70
Tehanu,"Science Fiction",Nakskov,2005-08-21,37
"Wide Is the Gate",History,Kalundborg,2005-06-06,19
"High Rise","Science Fiction",Horsens,2005-03-11,90
"Look to Windward","Science Fiction",Roskilde,2005-04-16,41
"Kiss the Dust","Children's literature",Aalborg,2005-08-31,92
"The Man Who Awoke","Science Fiction",Kalundborg,2005-11-10,9
"The Sun Also Rises","Roman à clef","Hjørring",2005-03-27,56
"The Two Georges","Alternate history",Nyborg,2005-07-14,22
"Eternal Curse on the Reader of These Pages",Novel,Horsens,2005-06-06,62
"A Far Country",Fiction,Fredericia,2005-02-16,36
Ratking,"Crime Fiction",Nakskov,2005-09-12,11
Trollslayer,Fantasy,"Hillerød",2005-06-22,45
"A Long Way Gone: Memoirs of a Boy Soldier",Autobiography,Fredericia,2005-06-05,56
"2 States: The Story of My Marriage",Fiction,Gentofte,2005-04-02,94
"The Friendship","Children's literature",Aarhus,2005-05-02,42
"The Journey of Ibn Fattouma",Novel,Skagen,2005-07-09,89
Inversions,"Science Fiction",Odense,2005-01-26,67
"Times Without Number","Alternate history",Aarhus,2005-03-09,41
"Mydnight's Hero",Gamebook,Skive,2005-11-24,28
"The Poet",Thriller,Aabenraa,2005-04-14,43
"The Unfortunates","Ergodic literature","Helsingør",2005-12-06,65
"Alien Minds","Science Fiction",Horsens,2005-11-12,74
"Across the Nightingale Floor","Speculative fiction","Hjørring",2005-05-14,5
"March Upcountry","Science Fiction",Kolding,2005-08-19,36
"Watch Your Mouth",Comedy,Gentofte,2005-09-16,15
"Assemblers of Infinity","Science Fiction",Ribe,2005-08-05,82
"In Her Shoes",Fiction,Slagelse,2005-03-04,82
Icefire,"Children's literature",Kalundborg,2005-01-26,21
"Blade of Fire","Speculative fiction",Kolding,2005-08-06,49
Blackout,Fantasy,Thisted,2005-01-21,12
Firebird,"Speculative fiction",Thisted,2005-05-29,22
"Dinosaur Summer","Alternate history",Nyborg,2005-09-22,64
Jumper,"Science Fiction",Fredericia,2005-09-11,11
Haunted,"Speculative fiction",Nyborg,2005-03-30,28
"Millennium Falcon","Science Fiction",Ribe,2005-10-30,23
"Carl Haffner's Love of the Draw","Literary fiction",Viborg,2005-07-30,71
"The Brothers K",Fiction,Vejle,2005-12-04,36
"The Shakespeare Stealer","Young adult literature",Copenhagen,2005-01-29,77
"Dirty Weekend","Literary fiction",Vordingborg,2005-08-29,38
"The Solarians","Science Fiction","Hillerød",2005-10-05,39
"The Little Drummer Girl","Spy fiction",Gentofte,2005-08-01,94
"The Stranger","Crime Fiction",Holstebro,2005-07-10,100
"Hegemony or Survival","Political philosophy",Skagen,2005-02-06,75
"The Moral Landscape",Sociology,Fredericia,2005-02-02,86
Saturday,Fiction,"Hillerød",2005-07-27,85
Wormwood,"Children's literature",Viborg,2005-07-12,25
"No More Dead Dogs","Children's literature",Gentofte,2005-02-22,12
"Anthills of the Savannah","Children's literature",Skive,2005-05-14,36
"The Road to Wellville",Fiction,Viborg,2005-08-24,97
"Which Witch?","Speculative fiction","Køge",2005-10-30,56
"No Humans Involved",Fantasy,Randers,2005-04-01,87
"Story of O",Erotica,Horsens,2005-09-19,97
"The Shadow in the North","Children's literature",Kolding,2005-11-06,29
Monster,"Crime Fiction",Skagen,2005-12-20,20
"Whitethorn Woods",Fiction,Vejle,2005-12-17,14
"Children of Paranoia",Thriller,Vordingborg,2005-02-25,59
"Murder in Millennium VI","Science Fiction",Fredericia,2005-09-09,98
"No place like home",Thriller,Vejle,2005-08-25,96
"Five Go Off to Camp",Mystery,Ribe,2005-08-09,43
"Rally Cry","Science Fiction","Tønder",2005-04-10,44
"Book of the Dead",Fantasy,Odense,2005-03-03,17
"Babar's Museum of Art","Children's literature","Tønder",2005-07-10,14
"Old Man's Cave",Fantasy,"Holbæk",2005-11-25,79
"The Perilous Road",Fiction,"Helsingør",2005-08-16,77
"The Rolling Stones","Science Fiction",Nyborg,2005-04-11,23
"The Power of the Dog",Thriller,"Holbæk",2005-05-14,43
Ash,"Young adult literature","Nørresundby",2005-05-12,85
"Damnation Alley","Science Fiction","Helsingør",2005-12-07,81
"The Wasp Factory",Fiction,"Nykøbing Falster",2005-04-09,95
"The Murder of Roger Ackroyd","Crime Fiction","Køge",2005-07-29,81
"The Troubled Man","Crime Fiction",Slagelse,2005-06-21,69
"The Unifying Force","Science Fiction",Nakskov,2005-08-18,28
"Devil's Brood","Historical fiction","Køge",2005-08-19,20
"Black Wind",Techno-thriller,Frederiksberg,2005-06-15,51
"The Years of Rice and Salt","Alternate history",Odense,2005-03-09,29
"The Doom Brigade",Fantasy,"Sønderborg",2005-03-23,20
"The Meanest Doll in the World","Children's literature","Hjørring",2005-10-20,24
"Tom Swift in Captivity","Young adult literature",Aalborg,2005-01-10,86
"The Heather Blazing",Novel,"Tønder",2005-09-06,32
"Victim: The Other Side of Murder","True crime",Copenhagen,2005-01-04,78
"The Stingray Shuffle","Crime Fiction",Frederiksberg,2005-12-07,69
"The Source of Magic","Science Fiction",Kolding,2005-06-03,72
Thomas,"Science Fiction","Nykøbing Falster",2005-07-29,59
Tersias,"Children's literature",Nyborg,2005-11-16,63
"The Immortals of Meluha",Fiction,Vejle,2005-11-03,42
Grasshopper,"Crime Fiction",Thisted,2005-12-31,41
"King Dork","Young adult literature",Holstebro,2005-12-09,84
"Riders of the Purple Sage",Western,Slagelse,2005-11-20,14
"The Man From Santa Clara","Western fiction","Hillerød",2005-12-08,95
"Wren's War","Speculative fiction",Maribo,2005-10-28,63
"The Sherwood Ring",Fantasy,Copenhagen,2005-04-28,18
"Son of the Shadows","Science Fiction",Odense,2005-09-21,28
"The House at Riverton",Fiction,Ribe,2005-03-26,34
"A Study in Sorcery","Alternate history",Aabenraa,2005-02-28,36
"Memoirs Found in a Bathtub",Dystopia,"Køge",2005-12-17,21
"Grey Star the Wizard",Gamebook,Vordingborg,2005-02-17,71
"How I Paid For College: A Novel of Sex, Theft, Friendship, and Musical Theater","Young adult literature","Nykøbing Falster",2005-08-17,65
"Feersum Endjinn","Science Fiction",Nyborg,2005-11-06,56
"Line of Delirium","Space opera","Sorø",2005-12-14,52
Icebreaker,"Spy fiction",Horsens,2005-01-29,92
"Shampoo Planet",Fiction,Kalundborg,2005-07-10,74
"Rally Cry","Science Fiction","Hillerød",2005-06-22,9
"After the Hole",Horror,Ribe,2005-05-30,7
"Conan the Valiant","Sword and sorcery",Ribe,2005-07-16,79
"A Sensible Life",Novel,"Holbæk",2005-05-21,65
"The Man Who Folded Himself","Time travel","Køge",2005-12-31,30
"The Eagle Has Landed",Thriller,Skagen,2005-06-21,44
"White Mughals",History,Kalundborg,2005-07-09,62
"Ashes to Ashes",Thriller,Svendborg,2005-06-25,95
"Mirette on the High Wire","Picture book",Aarhus,2005-02-04,73
"Glass Dragons","Speculative fiction",Kalundborg,2005-04-01,26
"Wooden Heart","Speculative fiction","Hjørring",2005-06-19,9
"A Guide to the Perplexed",Novel,"Holbæk",2005-09-30,50
"Edgar Huntly","Gothic fiction",Slagelse,2005-06-02,86
"Leo Africanus","Historical novel",Silkeborg,2005-06-12,27
Ecotopia,"Romance novel","Hillerød",2005-08-12,87
"The Macdermots of Ballycloran",Fiction,Viborg,2005-02-20,70
"A New Athens",Novel,Maribo,2005-11-13,62
"The Paperboy",Novel,Aabenraa,2005-05-31,20
"Teen Idol","Young adult literature",Silkeborg,2005-11-02,44
"The Ship of Ishtar",Fantasy,"Hillerød",2005-06-14,27
Microserfs,"Epistolary novel",Skive,2005-12-19,44
"Behold the Man","Science Fiction","Hjørring",2005-10-07,88
"City of the Rats","Children's literature",Silkeborg,2005-09-19,58
"Lulu Dark Can See Through Walls","Young adult literature",Skagen,2005-01-15,44
"Galaxy of Fear: The Nightmare Machine","Science Fiction",Copenhagen,2005-10-19,42
"Murder on the Orient Express","Crime Fiction",Nakskov,2005-03-21,82
"Dead Calm",Thriller,"Sorø",2005-09-25,75
"The Visitors","Science Fiction",Skagen,2005-01-18,39
"A Mystery for Mr. Bass","Science Fiction",Holstebro,2005-07-26,50
"Hell's Half Acre",Novel,"Nørresundby",2005-07-10,25
"Just Listen","Children's literature",Svendborg,2005-05-14,70
"The Purple Cloud","Science Fiction",Frederiksberg,2005-12-05,54
Unwind,Biopunk,Gentofte,2005-09-05,94
"No Way to Treat a First Lady",Satire,Vordingborg,2005-05-26,8
Hammered,"Science Fiction",Frederikshavn,2005-08-13,81
"The Taggerung","Children's literature",Skagen,2005-09-17,96
"A Long Fatal Love Chase","Gothic fiction",Odense,2005-05-28,24
"Lock and Key","Children's literature",Aalborg,2005-05-24,67
"The Good Master","Children's literature",Viborg,2005-03-08,52
Walden,"Children's literature",Skagen,2005-06-12,41
"The Year of Our War","Speculative fiction",Vejle,2005-12-14,39
"Darkness Descends",Fiction,Maribo,2005-04-30,84
"Shadow's Edge",Fantasy,"Holbæk",2005-08-26,90
"The Dead Father","Science Fiction","Tønder",2005-01-20,76
"Churchill, Hitler and the Unnecessary War",History,"Holbæk",2005-10-25,7
"A Escrava Isaura","Romance novel",Skive,2005-11-19,95
"Zabibah and the King","Romance novel",Kolding,2005-03-21,18
"The Iron Clew",Mystery,"Køge",2005-08-16,68
Equinox,"Science Fiction","Hillerød",2005-08-17,46
Rollback,"Science Fiction",Esbjerg,2005-02-04,33
Macroscope,"Science Fiction",Horsens,2005-04-16,31
"César Birotteau",Fiction,Skagen,2005-08-18,91
Songmaster,"Science Fiction",Aabenraa,2005-02-01,10
Gene,Thriller,Randers,2005-04-17,69
"Cry, The Beloved Country","Children's literature",Vordingborg,2005-04-28,50
Chase,"Speculative fiction",Fredericia,2005-08-21,100
Abarat,Fantasy,Vejle,2005-08-09,47
"To Green Angel Tower","Speculative fiction",Haderslev,2005-08-23,97
"The Princess Diaries, Volume II: Princess in the Spotlight","Young adult literature",Viborg,2005-12-20,34
"The Twelve Kingdoms: Sea of Wind",Fantasy,Kalundborg,2005-08-14,51
"Jonathan Troy",Western,"Hjørring",2005-02-13,92
"Sophie's World","Speculative fiction",Kolding,2005-11-10,69
"Colonization: Second Contact","Alternate history",Roskilde,2005-01-16,25
"Princess of Glass",Fantasy,Svendborg,2005-05-05,12
Impressions,"Science Fiction",Kalundborg,2005-10-18,6
"Cop This!",Novel,"Nykøbing Falster",2005-01-25,40
"Cerberus: A Wolf in the Fold","Science Fiction","Holbæk",2005-07-25,36
"The Cat Who Talked Turkey",Mystery,Herning,2005-03-09,7
"Animal World","Short story",Nyborg,2005-03-28,27
Earthworks,"Science Fiction",Silkeborg,2005-03-15,81
V.,"Speculative fiction","Køge",2005-08-28,80
"Duel for the Samurai Sword","Children's literature",Copenhagen,2005-07-21,76
"The Sledding Hill","Speculative fiction",Slagelse,2005-11-29,16
Dune,"Conspiracy fiction","Sønderborg",2005-08-20,64
"Praisesong for the Widow",Novel,Holstebro,2005-08-16,61
Conqueror,"Historical novel",Kalundborg,2005-02-28,43
"The Devil's Arithmetic",Fantasy,Odense,2005-01-21,21
"Friday's Child","Regency romance","Tønder",2005-09-16,100
"The Naked Sun",Mystery,"Hillerød",2005-04-16,36
"The Twenty-Seventh City",Fiction,Skive,2005-04-23,34
"The Big Six","Children's literature","Tønder",2005-08-21,76
"Witch and Wizard: The Gift","Children's literature",Kolding,2005-05-13,84
"Jewels from the Moon","Science Fiction","Nykøbing Falster",2005-08-19,67
"The Beast Master","Science Fiction",Frederikshavn,2005-06-29,15
Broken,Fantasy,Frederikshavn,2005-05-07,15
Forever,"Children's literature",Slagelse,2005-10-01,29
Taltos,"Science Fiction",Aalborg,2005-05-18,81
"A Piece of Blue Sky",Non-fiction,Copenhagen,2005-03-25,94
"Before Midnight",Mystery,Frederiksberg,2005-06-01,19
"Into Thin Air: A Personal Account of the Mt. Everest Disaster",Non-fiction,Roskilde,2005-07-21,77
Broken,Fantasy,Holstebro,2005-05-02,74
"The Lancashire Witches","Speculative fiction",Randers,2005-04-30,21
"Sporting Chance","Science Fiction","Køge",2005-12-30,21
"Rendezvous with Rama","Hard science fiction","Holbæk",2005-12-22,79
"A Rumor of War",Biography,Nyborg,2005-11-16,35
"Where were you last Pluterday?","Science Fiction",Gentofte,2005-04-24,9
M/F,"Comic novel","Tønder",2005-05-28,59
"Danny Dunn on the Ocean Floor","Science Fiction",Fredericia,2005-10-10,99
"Red Prophet","Science Fiction",Fredericia,2005-03-28,75
"Let the Circle Be Unbroken","Children's literature",Skagen,2005-09-18,81
Memory,"Science Fiction",Holstebro,2005-12-20,31
"The Dark Cry of the Moon",Horror,Roskilde,2005-09-24,35
"The Gods of War","Alternate history",Haderslev,2005-06-03,56
"Skylark of Valeron","Science Fiction",Skagen,2005-10-18,100
Magician,"Science Fiction",Horsens,2005-07-19,56
"The Thief and the Dogs",Novel,"Hillerød",2005-10-03,25
"Rome Burning","Alternate history",Frederikshavn,2005-09-07,45
"The Great American Novel",Fiction,Holstebro,2005-10-17,62
"The Virtu","Speculative fiction",Odense,2005-01-06,15
"The Keeper of the Isis Light","Science Fiction",Ribe,2005-06-06,65
"The Slow Natives",Novel,Kolding,2005-06-07,61
"Blood and Gold","Speculative fiction","Sorø",2005-04-27,93
Outcast,"Historical novel",Esbjerg,2005-09-29,99
"Under the Net",Fiction,Ribe,2005-01-05,77
"Flowers for the Judge","Crime Fiction",Maribo,2005-01-07,51
"Ode to a Banker","Crime Fiction","Helsingør",2005-07-15,12
"Abraham Lincoln, Vampire Hunter",Thriller,"Nørresundby",2005-04-17,56
"King of Kilba","Children's literature",Svendborg,2005-01-30,96
"War of Honor","Science Fiction",Slagelse,2005-09-04,24
"The Thing About Jane Spring","Romantic comedy","Helsingør",2005-04-28,97
Myron,"Science Fiction",Holstebro,2005-09-02,45
"False Memory","Speculative fiction","Nørresundby",2005-08-21,32
"The Great Fetish","Science Fiction",Roskilde,2005-03-04,56
"Midnight Plus One",Thriller,Vordingborg,2005-04-27,27
"The Haunting","Young adult literature",Nyborg,2005-02-27,61
Ramage,"Historical novel",Holstebro,2005-09-23,47
"Prague: A Novel","Historical novel",Maribo,2005-10-03,47
Heaven,"Gothic fiction",Vejle,2005-06-11,16
"The Warlock of Firetop Mountain",Gamebook,Aabenraa,2005-03-23,42
"War with the Newts","Science Fiction",Aarhus,2005-08-26,53
Crime,Novel,Kolding,2005-04-27,22
"Written in Blood","Crime Fiction","Helsingør",2005-07-14,38
"The Surgeon","Crime Fiction","Tønder",2005-12-18,99
"An Abundance of Katherines","Children's literature",Aabenraa,2005-09-09,95
"A Girl from Lübeck",Novel,Kolding,2005-02-22,31
"The Fire Kimono",Mystery,"Tønder",2005-11-14,67
"Thérèse Raquin",Psychology,Silkeborg,2005-12-26,12
"Come Clean",Thriller,Frederikshavn,2005-01-31,48
"The Coming of the Quantum Cats","Science Fiction","Nørresundby",2005-10-02,91
"The Princess and the Goblin","Speculative fiction","Hjørring",2005-11-06,71
Bellwether,"Speculative fiction",Skagen,2005-07-26,58
"No Dominion",Thriller,Aalborg,2005-11-10,14
"The Last Dog on Earth",Thriller,Horsens,2005-01-02,67
"Fame is the Spur",Fiction,Aarhus,2005-10-02,35
"Doctor Dolittle's Return","Children's literature",Vordingborg,2005-12-07,56
Transition,Novel,Esbjerg,2005-12-08,41
"Back to Life",Novel,Aabenraa,2005-05-22,90
"The Undying Land","Lost World","Holbæk",2005-03-06,33
Foxmask,"Speculative fiction",Silkeborg,2005-09-19,68
"The Call of the Wild","Children's literature",Herning,2005-03-31,77
"By the Light of the Moon",Thriller,Fredericia,2005-10-30,48
"The Last Continent","Science Fiction",Fredericia,2005-12-21,27
"A Fortress of Grey Ice","Speculative fiction",Aabenraa,2005-06-29,51
"Chapterhouse Dune","Science Fiction",Aalborg,2005-09-14,78
Columbine,History,Silkeborg,2005-10-06,94
"The Last Victim","True crime",Holstebro,2005-08-21,58
"Mr. Tickle","Children's literature",Silkeborg,2005-06-13,65
"The Octagonal Raven","Science Fiction",Skive,2005-11-09,74
"Is Underground","Children's literature",Nyborg,2005-06-28,33
"The Dark Half","Children's literature",Skagen,2005-10-28,76
"The Diothas","Speculative fiction",Kalundborg,2005-04-26,65
"The Razor's Edge",Novel,"Sorø",2005-12-28,37
"City Of The Dead","Speculative fiction","Sorø",2005-06-13,70
"Rogue Planet","Science Fiction",Thisted,2005-05-21,25
"House Made of Dawn","Historical fiction",Roskilde,2005-03-19,60
"The Eternal Flame","Speculative fiction",Fredericia,2005-11-25,88
"The Fellowship of the Ring",Fantasy,Frederikshavn,2005-05-07,19
"Angry White Pyjamas",Autobiography,"Hillerød",2005-11-14,93
"The House of Mirth",Fiction,Copenhagen,2005-02-21,9
Emphyrio,"Science Fiction",Esbjerg,2005-09-29,63
"From Anna","Children's literature",Aalborg,2005-10-28,95
Desperation,"Speculative fiction",Kolding,2005-10-23,79
"The Emigrants",Fiction,Frederikshavn,2005-10-20,42
Iracema,"Romance novel",Svendborg,2005-05-18,34
"The Prince",Treatise,Fredericia,2005-07-23,79
Heaven,"Gothic fiction","Nørresundby",2005-05-03,35
